name,image,description,allergy,booth_location,map_page_food_location,genre,logo_path,dish_image_path,is_vegan,payments,allergens,dishes
"Umai Beef Bowl","assets/foodLogo/umai.png","Japanese beef rice bowls","Contains soy","C","C","Japanese","assets/foodLogo/umai.png","assets/food/24. Umai Gyudon.jpg",false,"Cash|Zelle|Venmo","Soy","Beef Bowl;Japanese style beef rice bowl;10.0;Soy;assets/food/24. Umai Gyudon.jpg;false"
"Nagomi Bento","assets/foodLogo/7. Nagomi Bento .jpg","Japanese bento boxes and drinks","Contains egg, soy","A","A","Japanese","assets/foodLogo/nagomi_bento.jpg","assets/food/7. Nagomi Bento .jpg",false,"Cash|Credit Card","Egg|Soy","Nagomi Gyudon;Beef rice bowl;11.0;Egg/Soy;assets/food/7. Nagomi Bento .jpg;false|Matcha Lemonade;Refreshing matcha lemonade;4.5;;assets/food/MatchaLemon.jpeg;true|Barley Tea;Traditional Japanese barley tea;3.5;;assets/food/barley.jpg;true"
"Hokkaido Ramen Santouka","assets/food/Santouka.jpg","Hokkaido style ramen and snacks","Contains egg, wheat, milk, soy, fish, sesame, peanut, tree nuts, shellfish","A","A","Ramen","assets/foodLogo/santouka.jpeg","assets/food/Santouka.jpg",false,"Credit Card","Egg|Wheat|Milk|Soy|Fish|Sesame|Peanut|Tree Nut|Shellfish","Ramen;Hokkaido style ramen;14.0;Egg/Wheat/Milk/Soy/Fish/Sesame;assets/food/Santouka.jpg;false|Potato Stick;Crispy potato snack;4.0;Egg/Wheat/Peanut/Milk;assets/food/potato.jpg;false"
"Kevin's Bread","assets/food/Kevins Bread.jpg","Japanese style breads","Contains egg, wheat, milk","B","B","Bakery","assets/foodLogo/kevin_bread.jpg","assets/food/Kevins Bread.jpg",false,"Cash|Venmo","Egg|Wheat|Milk","Curry Pan;Japanese curry bread;5.5;Egg/Wheat/Milk;assets/food/curry_bread.jpg;false|Sakura An Pan;Sweet bread with cherry blossom filling;5.0;Egg/Wheat/Milk;assets/food/sakura.jpg;false"
"IBARAKI's Yaki-Onigiri","assets/food/17. Yaki Onigiri.jpg","Grilled rice balls","Contains soy, wheat","B","B","Japanese","assets/food/17. Yaki Onigiri.jpg","assets/food/17. Yaki Onigiri.jpg",true,"Cash|Venmo","Soy|Wheat","Yaki-Onigiri (Soy Sauce);Grilled rice ball with soy sauce flavor;4.5;Soy;assets/food/Yakiyaki.jpg;true|Yaki-Onigiri (Miso);Grilled rice ball with miso flavor;4.5;Wheat/Soy;assets/food/yakini.jpg;true"
"Lady M Cake Boutique","assets/food/signature_mille_crepes.jpg","Signature Mille Crepes, Green Tea Mille Crepes, Pistachio Mille Crepes","Contains Egg, Wheat, Milk, Tree Nuts","A","A","Bakery","assets/foodLogo/Lady_M.jpeg","assets/food/signature_mille_crepes.jpg",true,"Cash|Credit","Egg|Wheat|Milk|Tree Nuts","Signature Mille Crepes;Twenty layers of thin handmade crepes with light pastry cream;9.5;Egg/Wheat/Milk/Treenut;assets/food/signature_mille_crepes.jpg;true|Green Tea Mille Crepes;Twenty layers of thin handmade crepes with matcha green tea cream;9.99;Egg/Wheat/Milk/Tree Nut;assets/food/green_tea_cheescake.png;true|Pistachio Mille Crepes;Twenty layers of thin handmade crepes with pistachio cream;10.5;Egg/Wheat/Milk/Tree Nuts;assets/food/Pispis.jpg;true"
"Yawaragi International","assets/food/Konpeito.webp","Traditional Japanese sweets and green tea","N/A","A","A","Japanese Confectionery","assets/foodLogo/WagashiLogo.png","assets/food/Konpeito.webp",true,"Cash|Venmo","","Nerikiri;Traditional Japanese sweet;5.0;;assets/food/nerikiri.jpeg;true|Higashi;Dry Japanese sweet;4.5;;assets/food/Higashi.png;true|Konpeito;Japanese sugar candy;3.5;;assets/food/Konpeito.webp;true|Green Tea;Traditional Japanese green tea;3.0;;assets/food/greentea.jpg;true"
"Yume wo Katare","assets/food/Yume.png","Japanese ramen","Contains wheat, fish","C","C","Ramen","assets/foodLogo/YumeLogo.png","assets/food/Yume.png",false,"Cash|Venmo","Wheat|Fish","Ramen;Traditional Japanese ramen;12.0;Wheat/Fish;assets/food/Yume.png;false"
"Sakabayashi Sushi Tavern","assets/food/Sakabayashi.png","Japanese bento boxes and snacks","Contains egg, fish","C","C","Japanese","assets/foodLogo/sakabayashi.png","assets/food/Sakabayashi.png",false,"Cash|Credit Card","Egg|Fish","Karaage and Salmon Bento;Fried chicken and salmon bento box;12.5;Egg/Fish;assets/food/Salmon.jpg;false|Salmon Onigiri;Rice ball with salmon filling;5.0;Fish;assets/food/Sakabayashi.png;false|Takoyaki;Octopus balls;6.5;Egg;assets/food/16. Takoyaki.jpg;false"
"Bosso Ramen Tavern","assets/food/Teriyakiki.png","Japanese chicken dishes","Contains wheat, soy","TBD","C","Japanese","assets/foodLogo/Bosso.png","assets/food/Teriyakiki.png",false,"Cash|Venmo","Wheat|Soy","Chicken Teriyaki;Grilled chicken with teriyaki sauce;10.5;Wheat/Soy;assets/food/Teriyakiki.png;false"
"ROYCE' Chocolate","assets/food/2.3. Royce.jpg","Premium Japanese chocolates","Contains milk, soy, tree nuts, wheat","A","A","Dessert","assets/foodLogo/Royce.jpeg","assets/food/2.3. Royce.jpg",false,"Cash|Debit/Credit Card|Apple Pay|Google Pay","Milk|Soy|Tree Nuts|Wheat","NAMA CHOCOLATE;Premium fresh chocolate;12.0;Milk/Soy/Tree Nuts;assets/food/Nama.png;false|BAR CHOCOLATE;Chocolate bar;8.0;Wheat/Milk/Soy/Tree Nuts;assets/food/Barstick.png;false|PURE CHOCOLATE/PRAFEUILLE CHOCOLATE;Pure chocolate;10.0;Milk/Soy/Tree Nuts;assets/food/Strawberry.png;false|CHOCOLATE WAFERS;Chocolate coated wafers;7.5;Wheat/Milk/Soy/Tree Nuts;assets/food/ROYCE CHOCOLATE.png;false"
"Pagu","assets/food/PaguFood.png","Japanese rice balls and noodles","Contains soy, fish, sesame, wheat","A","A","Japanese","assets/foodLogo/Pagu.png","assets/food/PaguFood.png",false,"Cash|Venmo","Soy|Fish|Sesame|Wheat","Salmon Teriyaki Onigiri;Rice ball with teriyaki salmon;6.0;Soy/Fish;assets/food/Salmon.jpg;false|Kombu Tsukudani Onigiri;Rice ball with seaweed;5.5;Soy/Sesame;assets/food/Konbu.png;true|Soba Noodle Salad;Cold soba noodle salad;8.0;Wheat/Soy/Sesame;assets/food/SaladSoba.png;true|Ube Mochi;Purple yam mochi;5.0;;assets/food/Ube Mochi.png;true|Pina Colada Amazake;Sweet fermented rice drink;5.5;;assets/food/PineSake.png;true|Sparkling Tea;Refreshing sparkling tea;4.5;;assets/food/Sparkling.png;true"
"Babumura","assets/food/BabuBabu.png","Freshly made Okonomiyaki!","Contains Egg, Wheat, Soy","A","A","Japanese","assets/foodLogo/BabLogo.png","assets/food/BabuBabu.png",false,"Debit/Credit Card","Egg|Wheat|Soy","Okonomiyaki;Freshly made okonomiyaki;12.0;Egg/Wheat/Soy;assets/food/BabuBabu.png;true|Wagyu Okonomiyaki;Okonomiyaki with Wagyu;8.0;Egg/Wheat/Soy;assets/food/BABBAB.jpg;false"
"Osaka En-nosauke Shouten","assets/food/RamenOishi.png","Kodawari Ramen from Osaka!","Contains Wheat, Soy, Fish, Sesame","A","A","Japanese","assets/foodLogo/RAMENRAMEN.png","assets/food/RamenOishi.png",false,"Cash","Egg|Wheat|Soy","Tori Paitan Ramen;Ramen with Chicken;12.0;Wheat/Soy/Fish/Sesame;assets/food/BabuBabu.png;true|Cha-shu onigiri;Riceball with Pork Meat;8.0;Wheat/Soy/Sesame;assets/food/Chashu.png;false"
"Nagomi","assets/food/warabimochi.jpg","Soft warabimochi!","Contains Soy","A","A","Japanese","assets/foodLogo/nagomi.jpg","assets/food/warabimochi.jpg",true,"Cash","Soy","Roasted soybean Warabimochi;Roasted soybean flour flavored soft mochi!;12.0;Soy;assets/food/mochi1.webp;true|Matcha Roasted Black Soybean Warabimochi;Matcha flavored roasted black soybean mochi!;8.0;Soy;assets/food/mochi2.jpg;true|Brown Sugar Warabimochi;Brown sugar flavored soft mochi!;8.0;;assets/food/mochi3.jpg;true"
